year|docket_number|facts_of_the_case|question
1957|107|New York state law authorized the legal counsel for a municipality to seek an injunction against and the destruction of material deemed by the courts to be obscene. Peter Campbell Brown, Corporation Counsel for the City of New York, sought such an injunction against several bookstores. The process of review that followed was a civil, rather than criminal procedure, and the courts ultimately granted the injunction and sought to destroy the obscene material.|Did the civil procedure as laid out by New York statute violate the booksellers' rights under the Due Process Clause of the Fourteenth Amendment by not allowing for a criminal trial before imposing an injunction and destroying the obscene material?
1956|342|While the Rev. Martin Luther King, Jr. led a boycott of the racially segregated bus system in Montgomery Alabama, the Legal Defense Fund of the NAACP challenged racial segregation on the bus system in the federal courts. This case arose in federal court as a violation of Reconstruction-era civil rights statutes and as a violation of the Equal Protection clause of the Fourteenth Amendment. A three-judge district court held that state enforcement of the segregated but privately owned bus system in Montgomery violated the Equal Protection Clause. The city appealed directly to the Supreme Court.|Did the district court err in striking down the racially separate but equal bus system in Montgomery Alabama?
1957|261|In 1954, John Watkins, a labor organizer, was called upon to testify in hearings conducted by the House Committee on Un-American Activities. Watkins agreed to describe his alleged connections with the Communist Party and to identify current members of the Party. Watkins refused to give information concerning individuals who had left the Communist Party. Watkins argued that such questions were beyond the authority of the Committee.|Did the activities of the Un-American Activities Committee constitute an unconstitutional exercise of congressional power?
1957|61|Alberts conducted a mail-order business which sold sexually explicit materials. He was convicted in a Municipal Court in California on a misdemeanor complaint which found him guilty of selling lewd and obscene books and of composing and publishing an obscene advertisement for his products.|Did the California Penal Code's obscenity provisions, criminalizing the selling and distribution of obscene literature, violate the freedoms of speech and press as guaranteed by the First and Fourteenth Amendments?
1957|6|Fourteen leaders of the Communist Party in the state of California were tried and convicted under the Smith Act. That Act prohibited willfully and knowingly conspiring to teach and advocate the overthrow of the government by force. This case was decided in conjunction with Richmond v. United States and Schneiderman v. United States.|Did the Smith Act violate the First Amendment?
1958|91|As part of its strategy to enjoin the NAACP from operating, Alabama required it to reveal to the State's Attorney General the names and addresses of all the NAACP's members and agents in the state.|Did Alabama's requirement violate the Due Process Clause of the Fourteenth Amendment?
1957|5|"Charles Rowoldt, a German citizen living in the United States, received an order of deportation under the Internal Security Act of 1950 because of his membership in the Communist Party. Rowoldt admitted to joining the Party for about a year and working at a Communist bookstore. However, he contended that he should not be deported because he joined the Party to ""fight for his daily needs"" and get ""something to eat and something to crawl into."" The Internal Security Act contained an exception for those who joined the Party to obtain food, employment, or other necessities of living. Rowolt also indicated that he was not aware that anyone in the Party supported violent overthrow of the government. Rowoldt sought a writ of habeas corpus from the District Court for the District of Minnesota, but his writ was denied because there was enough evidence to support his membership in the Party. The Court of Appeals for the Eighth Circuit affirmed the District Court's judgment."|Was Rowoldt a member of the Communist Party within the definition of Internal Security Act of 1950?
1958|178|On July 5, 1955, John Russell Crooker was arrested for the murder of his boss with whom he had been having an illicit relationship. For the next fourteen hours, Crooker was sporadically questioned and interrogated in his home and in the West Los Angeles Police Station; he repeatedly asked to meet with an attorney and was told that he could call only after the investigation was over. After fourteen hours of detainment and periodic interrogation, Crooker wrote a full confession to the murder. The next morning, Crooker was asked to orally repeat his confession, but he refused and again asked to speak with an attorney. Crooker was permitted to call his attorney at that point, and from then forward, he was represented by his counsel.At trial, Crooker argued that his confession was obtained in violation of his Fourteenth Amendment right to due process because his confession was coerced by state authorities, and even if it was given voluntarily, he was denied the right to counsel. The issue of whether Crooker’s confession was voluntary was presented to the jury, which resolved the question against Crooker and convicted him. The Supreme Court of California affirmed.|Is a confession obtained during an interrogation in which the suspect asked for and was denied access to counsel obtained in violation of the suspect’s Fourteenth Amendment right to due process?
1958|52|By the War Claims Act of 1948, Congress established the War Claims Commission for the purpose of adjudicating claims for compensating internees, prisoners of war, and religious organizations. Wiener was confirmed as a member of the Commission by President Truman in 1950. In 1953, when President Eisenhower requested Wiener's resignation, Wiener refused. Eisenhower subsequently appointed a substitute to Wiener's post. The Commission was abolished in 1954, and Wiener brought a claim to recover his salary from the time of his removal to the last day of the Commission's existence.|Did President Eisenhower have the authority to terminate Wiener's membership on the Commission?
1958|481|Rockwell Kent applied for and was refused a passport to visit England. In addition to informing him that his application refusal rested on his Communist Party affiliations, the Passport Office Director told Kent that in order for a passport to be issued a hearing would be necessary. The Director instructed Kent to submit an affidavit as to whether he was a current or past Communist. Upon the advice of counsel, Kent refused to sign the affidavit but did participate in a hearing at which he was once more asked to sign an affidavit concerning his Communist affiliations. When he refused the affidavit, the Passport Department advised Kent that no further action would be taken on his passport request until he satisfied the affidavit requirement. On appeal from consecutive adverse rulings in both district and appellate court, the Supreme Court granted Kent certiorari.|Could the Executive's Passport Department defer or refuse the issuance of passports to individuals suspected of being Communists or of traveling abroad to further Communist causes?
1958|1 MISC|The Governor and the Legislature of Arkansas openly resisted the Supreme Court's decision in Brown v. Board of Education. They refused to obey court orders designed to implement school desegregation. Local officials delayed plans to do away with segregated public facilities.|Were Arkansas officials bound by federal court orders mandating desegregation?
1959|94|The Illinois legislature adopted a law requiring all trucks and trailers traveling on the state's highways to operate with contour mudguards. The legislators believed that this specific type of mudguard would protect motorists by preventing trucks from throwing debris into the windshields of passing or trailing vehicles.|Did a law which required a specific type of rear mudguard on trucks and trailers operated on Illinois's state highways conflict with the Commerce Clause of the Constitution?
1959|45|"Fox West Coast Theatres (Fox West Coast) in San Bernardino, CA, held various contracts for ""first-run"" rights of movies. Beacon Theatre, Inc. (Beacon) opened a drive-in theater within the competitive area and threatened to sue Fox West Coast over their ""first-run"" contracts claiming they violate antitrust laws, in particular the Sherman Antitrust Act and the Clayton Act. Beacon then threatened legal action against Fox West Coast. Fox West Coast proceeded to file an injunction to prevent Beacon from pursuing legal action because their actions were causing ""duress and coercion."" Beacon responded to the injunction with a counterclaim against Fox West Coast stating they were not competitors in the same area, so Fox West Coast’s claim to “first-run” rights was unreasonable. Beacon further claimed that Fox West Coast and local film distributors were conspiring together to monopolize “first-run” exclusive rights to films.Judge Harry C. Westover denied Beacon a trial by jury because the suit involved both matters of law and equitable damages. Beacon appealed this decision on the grounds that the competition existing between Beacon and Fox West Coast was a matter of fact to be decided by a jury affirming Beacon’s Seventh Amendment right to trial by jury. The Ninth Circuit Court of Appeals affirmed the lower court’s decision."|Does a case involving both equitable claims and legal claims have a right to trial by jury under the Seventh Amendment?
1959|35|During hearings of the House Committee on Un-American Activities, Lloyd Barenblatt, a university professor, refused to answer questions concerning his political and religious beliefs along with his associational activities. He was found in contempt of Congress for failing to cooperate with the committee investigation.|Did the House Committee's investigation into Barenblatt's affiliations with the Communist Party transgress his First Amendment protections which limit congressional inquiries?
1960|2|Rudolf Ivanovich Abel maintained an artist’s studio in Brooklyn Heights, New York while living in New York at various inexpensive lodgings. In early May of 1957, Reino Hayhanen informed the American Embassy in Paris that he had been acting as a secret agent for the Soviet Union in the United States since 1952. He also informed the embassy that he had assisted a Soviet agent he only knew as “Mark”, whom he identified as a resident agent in the United States with the military rank of colonel. Federal Bureau of Investigation (“FBI”) agents began a long investigation of Abel, but did not seek to obtain a warrant of arrest or a search warrant relating to Abel.FBI agents gave three agents from the Immigration and Naturalization Service (“INS”) a report on Abel as a suspected spy; the FBI agents also asked them to prepare an Immigration detention warrant. On June 21, 1957, FBI agents found Abel at the Latham Hotel in Manhattan and questioned him unsuccessfully for a half hour. A short time later, INS agents who were waiting outside packed up all of Abel’s personal effects in the room. They seized over two hundred items but found no weapons or evidence of alienage; the FBI also seized several items after an agent checked Abel out of the hotel, including three items contested at trial.Two INS agents flew Abel to a maximum security camp in McAllen, Texas, where FBI and INS agents interrogated him for four weeks. On the third day, he admitted he was in the United States illegally. A criminal warrant for Abel’s arrest was issued on August 7, 1957 while Abel was in his Texas cell; he also learned that same day that he was indicted for espionage. Agents brought Abel back to New York, where the district court tried and convicted him of espionage. The prosecution introduced seven items seized before the government obtained a search warrant. The United States Court of Appeals, Second Circuit, affirmed Abel’s conviction, holding that INS agents could search Abel’s hotel room incident to his valid arrest and pursuant to a deportation arrest warrant.|Was Abel properly arrested pursuant to an administrative Immigration and Naturalization Service warrant despite an overlapping FBI investigation for espionage? Were the Fourth and Fifth Amendments violated when the United States searched and seized evidence from Abel while he was in custody pursuant to an INS warrant?
1960|22|Specialist Second Class James W. Dial of the United States Army and his wife, Joanna Dial, were charged with involuntary manslaughter for the death of their one-year-old child while stationed in Germany. James Dial was convicted of involuntary manslaughter, sentenced to three years in prison, and dishonorably discharged. His wife was not an active member of the military, but because she was a dependent of an active military member, she was tried in military court in Germany. She moved to challenge the jurisdiction of the military court over her case, but the motion was denied. She pled guilty to involuntary manslaughter and was sentenced to three years' imprisonment.Mrs. Dial's mother, Alberta Singleton, filed a writ of habeas corpus on her daughter's behalf and argued that civilian dependents of military personnel cannot be tried in a military court. The circuit court judge stated he did not want to grant the writ of habeas corpus but was bound by the Supreme Court case Reid v. Covert, in whichthe Court held that non-military personnel cannot be court martialed for capital offenses. Nina Kinsella, the warden where Mrs. Dial was serving her time, appealed the writ and argued that the defendant in Reid v. Covert was on trial for a capital offense, whereas Mrs. Dial was on a trial for a non-capital offense. Therefore, the court was not bound by that case.|Do military courts have jurisdiction over civilian dependents of military personnel?
1960|22|Peter Chaunt, a Hungarian native, came to the United States in 1921 at the age of 22. He became a U.S. citizen in 1940, one year after filing a petition for naturalization with the Immigration and Naturalization Service (“INS”). In 1953, the Government filed a complaint, which alleged that Chaunt had concealed and misrepresented his arrest record in his application for citizenship, and sought to revoke his naturalization. The district court held that Chaunt had concealed his membership in the Communist Party and three arrests in Connecticut for distributing handbills, violating park regulations, and committing a breach of the peace. All of the arrests occurred more than ten years prior to Chaunt’s naturalization. The district court cancelled the order granting citizenship to Chaunt, and the U.S. Court of Appeals for the Ninth Circuit affirmed.|Did the Government meet its standard of proof required under the Immigration and Nationality Act to revoke an order of naturalization?
1960|23|"Knetsch purchased annuity savings bonds from Sam Houston Life Insurance Company. In return, the company gave Knetsch loans and an annuity contract that would produce monthly annuity payments upon maturity. However, Knetsch kept borrowing from the insurance company in amounts that kept the net cash value of the annuity so low that it could produce no financial benefit other than tax deductions. Knetsch claimed payments to the insurance company as interest paid on indebtedness. The Commissioner of Internal Revenue disallowed the deductions and determined a deficiency amount for each of the two years in question. After paying the deficiency, Knetsch brought suit to obtain a refund in the United States District Court for the Southern District of California. The court ruled in favor of United States, holding that the transaction was a sham because it did not create ""indebtedness"" and, therefore, there was ""no commercial economic substance"" beyond the tax deductions. The U.S. Appeals Court for the Ninth Circuit affirmed."|Did the transaction between Knetsch and the insurance company create an indebtedness within the meaning of the Internal Revenue Code?
1961|11|The owners and a majority of the patrons of Crown Kosher Super Market are members of the Orthodox Jewish faith, which forbids shopping on the Sabbath, from sundown Friday until sundown on Saturday. Crown Kosher Super Market had previously been open for business on Sundays, on which it conducted about one- third of its weekly business. In 1962, the Massachusetts’ Legislature enacted a statute forbidding shops to be open and doing any labor, business, or work on Sunday. The Crown Kosher Super Market argued this provision violated the Equal Protection Clause of the Fourteenth Amendment since it does not respect their religious practices. The federal district court held that this provision is unconstitutional, but the U.S. Court of Appeals for the First Circuit reversed and held that the provision does not prohibit the free exercise of religion.|Do statutes that require stores to close on Sundays violate the Equal Protection Clause of the Fourteenth Amendment by not respecting the establishment of religion and prohibiting free exercise as applied to the states?
1961|67|Abraham Braunfeld owned a retail clothing and home furnishing store in Philadelphia. As an Orthodox Jew, he was prohibited by his faith from working on Saturday, the Sabbath. The Pennsylvania blue law only allowed certain stores to remain open for business on Sundays. Braunfeld's store was not one of those types allowed to be open. He challenged the law as a violation of the religious liberty clauses because he needed to be open six days a week for economic reasons and was prohibited from doing so by a tenet of his faith and the blue law.|Did the Pennsylvania blue law violate the First Amendment's protection of free exercise of religious beliefs?
1961|1|"The Smith Act's membership clause prohibited membership in organizations advocating the violent or forceful overthrow of the United States government. Junius Scales was criminally charged with membership in the Communist Party of the United States (""Party"") because it advocated the overthrow of the government ""as speedily as circumstances would permit."" Challenging his felony charge, Scales claimed that the Internal Security Act of 1950 (""Security Act"") stated that membership in a Communist organization shall not constitute a per se violation of any criminal statute. After failing in both a district and appellate court, the Supreme Court granted review."|Does a Communist Party member's conviction under the Smith Act, which makes a felony the knowing membership in organizations advocating the violent or forceful overthrow of the United States government, violate the Fifth Amendment's due process clause in light of the apparent protections afforded to such members under the Internal Security Act?
1961|236|Dollree Mapp was convicted of possessing obscene materials after an admittedly illegal police search of her home for a fugitive. She appealed her conviction on the basis of freedom of expression.|Were the confiscated materials protected by the First Amendment? (May evidence obtained through a search in violation of the Fourth Amendment be admitted in a state criminal proceeding?)
1961|8|Several employes of a discount department store sold a few items, such as floor wax and loose-leaf notebooks, to customers on a Sunday. By doing so, they violated Maryland's blue laws which only allow certain items, such as drugs, tobacco, newspapers and some foodstuffs, to be sold on Sundays.|Do Maryland's blue laws violate the Free Exercise and Religious Establishment clauses of the First Amendment?
1961|164|In August 1958 William H. Burton, an African-American, entered the Eagle Coffee Shoppe, a restaurant leasing space within a parking garage operated by the Wilmington Parking Authority, and was denied service solely because of his race. The Parking Authority is a tax-exempt, private corporation created by legislative action of the City of Wilmington for the purpose of operating the city's parking facilities, and its construction projects are partially funded by contributions from the city. The Parking Authority provided the restaurant heating and gas services and maintained the premises at its own expense. Burton filed suit seeking an injunction preventing the restaurant from operating in a racially discriminatory manner on the ground that doing so violated the Equal Protection Clause of the Fourteenth Amendment. A state court granted the injunction but was reversed on appeal to the Delaware Supreme Court.|Did the Eagle Coffee Shoppe's refusal to serve Burton constitute a violation of the Equal Protection Clause of the Fourteenth Amendment?
1960|32|An act of the Alabama legislature re-drew the electoral district boundaries of Tuskegee, replacing what had been a region with a square shape with a twenty-eight sided figure. The effect of the new district was to exclude essentially all blacks from the city limits of Tuskegee and place them in a district where no whites lived.|Did the redrawing of Tuskegee's electoral district boundaries violate the Fifteenth Amendment of the Constitution which prevents the United States or any individual state from denying a citizen the right to vote on account of race, color, or previous condition of servitude?
1960|13|In 1943, Peter Meyer took out life insurance policies in his own name worth $50,000. He pledged his insurance policies to Huntington National Bank of Columbus, Ohio as collateral security for a loan. This gave the bank the right to satisfy its claim out of the 'net proceeds of the policy when it becomes a claim by death.' After Peter Meyer pledged the policies to the bank, the United States determined that he owed $6,159.09 plus interest in unpaid taxes. The United States filed notice of tax lien on July 11, 1955.Peter Meyer died on December 28, 1955, owing $26,844.66 to Huntington National Bank. Ethel Meyer, the petitioner and Peter Meyer's widow, was named executrix of his estate and received $441.21, representing the remainder of the full cash surrender from Peter Meyer's insurance policies after payment to the bank.The United States brought suit against Ethel Meyer under 26 U.S.C.A. 6321 and 6322, arguing that it should be compensated for the full tax lien by marshalling the funds already paid to Huntington National Bank. At trial, Ethel Meyer argued that she owed nothing to the government because she was not personally liable for Peter Meyer's tax lien. She also argued that the tax lien did not and could not attach to the net proceeds of the cash surrender because those proceeds would be exempt under New York Insurance Law.District court Judge Edmund Palmieri held that the government was entitled to recover the full tax lien through the insurance policy's full cash surrender. The court relied on United States v. Behrens, where the court ordered a defendant to pay both a bank lien and tax lien from the same cash surrender. Although most of Peter Meyer's cash surrender was pledged to the bank for the payment of loans, this did not preclude the government from collecting on its full tax lien first. The U.S. Court of Appeals, Second Circuit, affirmed in a per curiam ruling. The court agreed that Behrens controlled the case.|Can a federal tax lien attach to the net proceeds of life insurance policies paid to Peter Meyer's widow?
1961|39|"On October 29, 1958, thirteen police officers, including Frank Pape, arrived at James Monroe's Chicago apartment at 5:45 A.M. The officers broke down the door, forced Monroe and his wife to stand naked in their living room, and ransacked the apartment. Afterwards, James Monroe was escorted to police quarters and held for ten hours on ""open"" charges while he was interrogated about a murder. The police did not have a warrant for the search or the arrest, and refused Monroe permission to call his attorney.Monroe brought a complaint against each of the Chicago police officers individually and against the City of Chicago. The City of Chicago moved to dismiss the complaint on the ground that it was not liable under the Civil Rights Act nor for acts committed in performance of governmental functions. All defendants moved to dismiss, arguing that there was no cause of action under the Civil Rights Acts. The district court dismissed the complaint. The United States Court of Appeals for the 7th Circuit affirmed the district court's dismissal."|1. Does a person have a valid cause of action under the Civil Rights Act against police officers when the police officers violate that person's due process?2. Can municipalities be liable under the Civil Rights Act?
1961|60|An old Connecticut law prohibited the use of contraceptive devices and the giving of medical advice in the use of those devices. The law also applied to married couples. The Connecticut Attorney General threatened to enforce the law against three individuals in this case including Jane Doe (Doe v. Pullman). Mrs. Doe, having recovered from a tough pregnancy which threatened her life and left her with several emotional and physical disabilities, was informed by her physician that any additional pregnancies could be fatal. She challenged the Connecticut law since it criminalized her use of contraceptives.|Did the Connecticut law violate liberty protected by due process of the Fourteenth Amendment?
1962|6|Charles W. Baker and other Tennessee citizens alleged that a 1901 law designed to apportion the seats for the state's General Assembly was virtually ignored. Baker's suit detailed how Tennessee's reapportionment efforts ignored significant economic growth and population shifts within the state.|Did the Supreme Court have jurisdiction over questions of legislative apportionment?
1962|46|"Maurice A. Hutcheson, a president of a labor union, refused to answer eighteen questions before the Senate Select Committee on Improper Activities in the Labor or Management Field. Although Hutcheson appeared to be concerned about the state using his words against him in a pending state criminal trial, he specifically waived his Fifth Amendment privilege against self-incrimination. Instead, he argued that the Committee only wanted to expose his wrongful acts, and that this exposure would violate his rights under the Due Process Clause of the Fifth Amendment because the Committee's questions acted as a ""pretrial"" of the state charges.The United States District Court for the District of Columbia found the union president guilty of contempt of Congress. On appeal, the United States Court of Appeals for the District of Columbia Circuit affirmed the judgment. Hutcheson appealed the appellate court's decision."|Do questions at a Senate Committee Hearing that relate to the witnesses' ongoing state criminal proceedings violate Due Process?
1963|6|"In the wake of the Supreme Court's ruling in Brown v. Board of Education, the National Association for the Advancement of Colored People (NAACP) received much criticism from state legislators as it pushed ahead with litigation to combat segregation. The State of Florida, in 1959, established a Legislative Investigation Committee to study what were called ""subversive organizations."" Gibson, president of the Miami branch of the NAACP, was subpoenaed before the committee and asked to produce a membership list of his organization. He refused and was found in contempt."|Did the Florida Committee, in attempting to inform itself about activities of subversive organizations, violate Gibson's right to free speech and association as protected by the First and Fourteenth Amendments?
1961|26|"These are three consolidated cases where Caucasian and African American patrons participated in ""sit ins"" at segregated lunch counters in Baton Rouge Louisiana. Each case the patrons merely sat at lunch counters. They were not asked to leave by the restaurants, but were asked to leave by police officers. When the patrons refused to do so, they were arrested and charged with ""disturbing the peace."" Under Louisiana law, ""disturbing the peace"" is defined as violent boisterous or disruptive acts, or any other act that unreasonably disturbs the public. The prosecution did not present any evidence that the patrons were boisterous or disruptive in any way. The individuals were convicted in state court and the state supreme court denied relief."|1. Were the patrons' convictions an unconstitutional enforcement of racial segregation by state power in violation of the Equal Protection Clause of the Fourteenth Amendment?2. Did the patrons' convictions violate due process guaranteed by the Fourteenth Amendment because they were based on insufficient evidence and a highly vague statute?3. Was the patrons' right to free speech guaranteed by the First Amendment and made applicable to the states by the Fourteenth Amendment violated through the convictions for disorderly conduct?
1962|242|Olga Zdanok and other individual employees of Glidden Company(Glidden) sought to recover damages for breach of collective bargaining agreement in New York state court, and then Glidden removed the case to federal district court on the grounds of diversity of citizenship. Judge J. Warren Madden, an active judge on the Court of Claims at the time, granted the employees damages. Glidden argued that the guarantee in Article III of the Constitution that judges should hold their offices during good behavior meant that Judge Madden displayed a lack of appropriate judicial independence.Previous judicial precedent had established that the United States Court of Customs and Patent Appeals and the United States Court of Claims were neither confined in jurisdiction nor protected in independence by Article III of the Constitution, but that there were created by other powers Congress possessed under Article I. Congress had since enacted statutes explicitly including the Court of Claims and the Court of Customs and Patent Appeals in Article III of the Constitution.|Are judges in the United States Court of Claims and the United States Court of Customs and Patent Appeals constitutionally protected in tenure and compensation under Article III of the Constitution?
1962|78|Herbert Goldblatt owned 38 acres of land within the Town of Hempstead (town) and often used the land for his business of mining sand and gravel. During excavation, water filled the crater, which widened and deepened. The town expanded around the excavation and later enacted a series of ordinances to regulate mining excavation within its limits. In 1958, the town amended an ordinance to prohibit excavation below the water table and impose a duty refill any excavation currently below the level. In 1959, the town sued Goldblatt for not complying with the ordinance. Goldblatt argued the ordinance is unconstitutional because it was not regulatory but rather represented the town confiscating his property without compensation. The Court of Appeals of New York held for the Town of Hempstead, allowing them to enforce the prohibition and the U.S. Court of Appeals for the Second Circuit affirmed the decision.|Do regulatory ordinances that result in taking land that was previously used for purposes of profit violate the Due Process Clause of the Fourteenth Amendment?
1962|439|The Borden Company and Bowman Dairy Company were both large distributors of milk products based in Chicago, Illinois. Each company sold dairy products to retail stores under a plan that gave independent stores discounts on the list prices based on the volume of the independent stores' purchases, up to a specified maximum discount. The dairies granted grocery chain stores a flat discount, without reference to the volume of their purchases, at a rate substantially higher than the maximum discount available to independent grocery stores.The government brought a Section 2(a) Clayton Act suit against The Borden Company and Bowman Dairy Company, seeking an injunction against selling milk products at prices which discriminated between the independent groceries and the chain groceries. Each company conducted its own cost study in an attempt to demonstrate that the differences in pricing between independent groceries and chain groceries were due to actual cost differences. The cost studies demonstrated that it was less costly on average to sell to chain stores. So, the dairy companies argued that the price discrimination was justified by the cost justification proviso of the Clayton Act.The United States District Court for the Northern District of Illinois dismissed the Government's suit, concluding that the cost differences demonstrated by the two companies' cost studies were sufficient to justify the price discrimination. The United States appealed the District Court's decision.|Under the Clayton Act, is it lawful to engage in price discrimination in favor of chain groceries and against independent groceries with a showing that sales to chains are less costly on average than sales to independents, but without showing why chains and independents should be treated as separate classes of purchasers?
